,Country,Sex,80_above,70to79,60to69,50to59,40to49,30to39,20to29,10to19,all_age
0,Afghanistan,Both sexes,42.0,11.0,5.5,5.6,6.6,9.2,10.2,3.1,90.1
1,Afghanistan,Male,70.4,20.9,9.8,9.3,10.5,15.1,16.3,4.8,152.3
2,Afghanistan,Female,20.1,2.3,1.4,1.6,2.3,2.7,3.5,1.2,33.900000000000006
3,Albania,Both sexes,16.3,8.3,6.0,7.8,9.1,6.1,6.5,5.0,60.1
4,Albania,Male,23.2,11.9,8.1,11.4,13.5,8.8,6.3,3.1,83.19999999999999
5,Albania,Female,10.9,4.9,3.9,4.4,5.0,3.4,6.6,7.0,39.1
6,Algeria,Both sexes,9.4,5.6,4.2,4.1,4.7,5.3,4.2,1.3,37.5
7,Algeria,Male,12.7,8.4,6.2,6.2,7.0,7.9,6.2,1.6,54.6
8,Algeria,Female,6.4,3.0,2.2,2.0,2.4,2.6,2.1,1.0,20.700000000000003
9,Angola,Both sexes,63.5,42.1,23.8,14.8,7.0,5.4,6.6,2.6,163.20000000000002
10,Angola,Male,123.2,68.2,34.7,21.8,10.7,8.4,10.4,3.8,277.4
11,Angola,Female,25.3,21.7,14.5,8.6,3.5,2.5,2.9,1.4,79.0
12,Antigua and Barbuda,Both sexes,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,8.1
13,Antigua and Barbuda,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Antigua and Barbuda,Female,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,15.8
15,Argentina,Both sexes,15.8,11.6,10.0,9.5,9.8,10.8,15.3,8.6,82.8
16,Argentina,Male,41.6,22.7,17.2,15.1,15.5,17.8,25.3,12.7,155.20000000000002
17,Argentina,Female,4.1,3.7,3.9,4.3,4.2,3.7,5.0,4.3,28.9
18,Armenia,Both sexes,27.9,17.4,10.1,8.4,9.0,5.4,4.5,2.2,82.7
19,Armenia,Male,41.0,28.1,17.8,15.9,17.2,10.1,8.2,3.5,138.29999999999998
20,Armenia,Female,20.2,10.4,4.4,2.6,2.3,1.4,0.9,0.6,42.199999999999996
21,Australia,Both sexes,28.8,13.1,12.9,18.2,19.7,16.3,13.9,5.6,122.9
22,Australia,Male,41.2,19.8,19.8,27.5,30.2,24.7,20.7,7.3,183.89999999999998
23,Australia,Female,20.1,6.7,6.2,9.0,9.4,8.0,6.8,3.9,66.2
24,Austria,Both sexes,40.9,25.1,17.8,23.1,15.7,13.1,10.8,4.5,146.50000000000003
25,Austria,Male,91.8,40.6,27.4,33.1,23.8,19.9,17.1,5.2,253.70000000000002
26,Austria,Female,12.7,12.4,9.0,13.2,7.6,6.3,4.3,3.7,65.5
27,Azerbaijan,Both sexes,7.7,6.6,4.5,4.1,3.5,3.2,2.2,1.4,31.799999999999997
28,Azerbaijan,Male,12.5,10.4,7.3,7.0,6.2,5.4,3.4,2.1,52.2
29,Azerbaijan,Female,5.0,4.0,2.1,1.4,1.0,1.0,0.9,0.6,15.4
30,Bahamas,Both sexes,4.3,3.0,2.6,2.6,2.2,1.9,1.8,0.8,18.4
31,Bahamas,Male,8.1,5.4,4.8,4.6,4.0,3.7,3.1,1.0,33.699999999999996
32,Bahamas,Female,2.4,1.3,0.9,0.8,0.5,0.2,0.4,0.6,6.500000000000001
33,Bahrain,Both sexes,25.2,11.0,6.2,4.8,6.1,8.1,8.8,3.0,70.2
34,Bahrain,Male,40.8,17.7,8.2,6.5,8.6,10.6,11.7,4.3,104.1
35,Bahrain,Female,11.5,4.2,3.2,1.9,1.4,2.7,3.1,1.5,27.999999999999996
36,Bangladesh,Both sexes,30.0,12.8,7.7,4.9,4.6,6.6,9.5,6.2,76.1
37,Bangladesh,Male,51.4,19.2,9.3,6.2,4.8,4.9,5.7,2.7,101.5
38,Bangladesh,Female,10.2,6.4,6.1,3.6,4.5,8.2,13.3,9.8,52.3
39,Barbados,Both sexes,9.7,4.4,0.0,0.3,0.4,0.4,0.0,0.0,15.200000000000001
40,Barbados,Male,26.6,0.0,0.0,0.6,0.9,0.8,0.0,0.0,28.900000000000002
41,Barbados,Female,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8
42,Belarus,Both sexes,40.6,32.4,32.0,39.9,39.9,30.6,18.9,4.8,234.3
43,Belarus,Male,96.1,76.8,65.3,75.9,70.4,52.1,32.3,7.6,468.90000000000003
44,Belarus,Female,22.9,11.4,8.9,9.5,11.8,9.0,4.8,1.8,78.3
45,Belgium,Both sexes,53.4,27.5,24.2,32.3,29.1,18.3,13.4,3.6,198.20000000000002
46,Belgium,Male,71.8,37.2,32.7,41.8,40.2,28.2,21.0,4.9,272.9
47,Belgium,Female,42.9,19.6,16.2,22.7,17.6,8.4,5.6,2.1,133.0
48,Belize,Both sexes,22.4,18.0,15.1,10.5,7.2,4.0,5.4,2.8,82.60000000000001
49,Belize,Male,36.2,29.0,25.9,17.8,12.8,7.6,9.0,3.5,138.29999999999998
50,Belize,Female,10.4,7.0,4.1,3.0,1.9,0.6,1.8,2.0,28.8
51,Benin,Both sexes,90.0,60.4,36.6,24.5,15.6,13.9,14.0,4.5,255.0
52,Benin,Male,146.4,81.1,47.3,33.0,22.6,21.6,21.8,6.6,373.80000000000007
53,Benin,Female,55.6,45.8,27.6,16.7,9.0,6.2,6.1,2.4,166.99999999999997
54,Bhutan,Both sexes,18.9,13.7,12.6,16.3,19.3,19.4,13.5,4.9,113.69999999999999
55,Bhutan,Male,28.7,17.1,13.8,18.9,23.3,23.3,16.7,5.2,141.79999999999998
56,Bhutan,Female,7.7,9.6,11.2,13.2,14.5,14.3,10.0,4.6,80.5
57,Bolivia (Plurinational State of),Both sexes,14.1,13.4,15.0,15.0,15.6,17.0,21.2,10.4,111.3
58,Bolivia (Plurinational State of),Male,19.4,18.0,20.2,20.0,21.2,23.4,28.7,10.8,150.89999999999998
59,Bolivia (Plurinational State of),Female,10.2,9.2,10.0,10.1,10.1,10.6,13.6,10.0,73.8
60,Bosnia and Herzegovina,Both sexes,21.0,19.6,12.7,12.3,11.1,6.7,3.8,1.7,87.19999999999999
61,Bosnia and Herzegovina,Male,41.5,34.9,22.7,19.3,18.4,10.4,6.2,2.5,153.4
62,Bosnia and Herzegovina,Female,9.7,8.6,4.2,5.4,3.9,2.8,1.2,0.8,35.8
63,Botswana,Both sexes,48.9,32.0,21.8,20.3,15.3,12.1,10.6,3.5,161.0
64,Botswana,Male,89.2,49.6,33.4,31.5,23.5,19.2,17.6,5.3,264.0
65,Botswana,Female,28.9,20.3,12.9,11.2,7.4,4.9,3.4,1.6,89.00000000000001
66,Brazil,Both sexes,19.5,11.9,9.2,9.3,8.6,8.1,6.9,2.7,73.5
67,Brazil,Male,31.9,19.4,14.6,14.6,13.6,12.8,11.3,3.8,118.19999999999997
68,Brazil,Female,12.3,6.3,4.7,4.5,4.0,3.4,2.5,1.6,37.7
69,Brunei Darussalam,Both sexes,10.5,9.8,7.3,7.2,7.8,5.4,5.7,0.6,53.7
70,Brunei Darussalam,Male,13.6,11.4,9.1,8.6,11.3,8.6,8.0,0.7,70.6
71,Brunei Darussalam,Female,8.1,8.4,5.6,5.7,4.1,1.9,3.2,0.4,37.0
72,Bulgaria,Both sexes,35.3,23.2,15.4,13.8,10.3,8.8,6.2,2.9,113.0
73,Bulgaria,Male,64.5,41.3,27.3,22.9,16.2,14.2,9.6,4.2,195.99999999999997
74,Bulgaria,Female,18.9,11.0,5.5,4.9,4.1,3.1,2.6,1.6,50.1
75,Burkina Faso,Both sexes,108.0,68.0,37.7,23.4,13.9,12.0,9.6,3.1,272.6
76,Burkina Faso,Male,214.7,111.6,54.9,34.0,21.2,15.7,12.1,4.0,464.19999999999993
77,Burkina Faso,Female,47.4,40.5,25.7,14.8,7.1,8.4,7.1,2.1,151.0
78,Burundi,Both sexes,93.7,58.2,31.0,23.9,15.1,12.9,12.9,5.7,247.70000000000002
79,Burundi,Male,174.8,94.0,45.2,34.8,22.6,19.7,19.8,7.8,410.90000000000003
80,Burundi,Female,34.0,28.3,17.3,13.5,7.9,6.4,6.5,3.6,113.9
81,Cabo Verde,Both sexes,116.3,61.3,44.4,31.6,16.8,8.0,6.9,2.2,285.29999999999995
82,Cabo Verde,Male,178.9,95.8,73.2,50.2,26.2,13.0,11.2,3.4,448.49999999999994
83,Cabo Verde,Female,79.2,39.8,22.2,15.4,7.1,2.5,2.6,0.9,168.79999999999998
84,Cambodia,Both sexes,15.5,13.1,10.2,5.1,6.8,9.5,8.0,2.4,68.19999999999999
85,Cambodia,Male,25.5,21.6,14.8,7.3,10.8,15.4,11.8,3.1,107.2
86,Cambodia,Female,9.3,7.4,7.1,3.3,3.2,4.0,4.2,1.6,38.50000000000001
87,Cameroon,Both sexes,113.3,78.1,46.3,29.2,18.8,17.6,16.6,6.3,319.90000000000003
88,Cameroon,Male,168.3,97.2,55.5,37.2,27.2,27.1,25.5,9.2,438.0
89,Cameroon,Female,72.5,62.0,38.0,21.5,10.4,8.1,7.5,3.4,220.0
90,Canada,Both sexes,21.8,12.1,13.6,19.7,17.4,12.4,12.0,5.1,109.0
91,Canada,Male,29.7,19.5,21.2,29.0,25.3,18.0,17.6,5.9,160.29999999999998
92,Canada,Female,16.8,5.5,6.2,10.2,9.5,6.9,6.3,4.2,61.4
93,Central African Republic,Both sexes,51.7,37.0,23.8,18.8,12.6,12.2,11.7,3.8,167.79999999999998
94,Central African Republic,Male,98.8,59.8,35.1,27.6,19.5,18.3,18.3,5.3,277.4
95,Central African Republic,Female,21.8,19.3,14.1,10.6,5.7,6.3,5.2,2.3,83.0
96,Chad,Both sexes,76.8,55.9,33.3,25.9,16.7,14.7,13.8,4.9,237.1
97,Chad,Male,83.8,49.4,29.7,24.5,19.8,19.4,19.3,5.6,245.9
98,Chad,Female,71.7,61.5,36.4,27.1,13.5,9.9,8.2,4.2,228.29999999999998
99,Chile,Both sexes,15.3,15.5,12.9,14.3,14.4,13.0,12.9,4.9,98.30000000000001
100,Chile,Male,39.4,30.2,22.7,22.6,23.2,21.1,20.6,6.6,179.79999999999998
101,Chile,Female,2.5,4.1,4.1,6.2,5.6,4.7,4.8,3.1,32.0
102,China,Both sexes,61.3,44.0,23.4,10.5,6.3,6.0,5.0,1.9,156.5
103,China,Male,73.2,51.2,24.2,9.0,4.8,4.7,4.4,1.5,171.5
104,China,Female,52.3,37.1,22.6,12.1,7.8,7.4,5.7,2.3,145.0
